feature,weight,source
tension,8.882352941,Violence
terror,9.647058824,Violence
terrorist,9.375,Violence
theft,6.65,Violence
thief,8,Violence
threat,8.217391304,Violence
threaten,9,Violence
thrust,6.142857143,Violence
traffic,8.2,Violence
trauma,8.666666667,Violence
trial,8.142857143,Violence
troop,6.25,Violence
trouble,6.888888889,Violence
undercut,6,Violence
unease,6.090909091,Violence
unhappy,6.714285714,Violence
unpredictable,6.571428571,Violence
unruly,8.6,Violence
unsafe,8.666666667,Violence
useless,5.714285714,Violence
vandal,7.666666667,Violence
vehement,6.857142857,Violence
vicious,7.875,Violence
victim,9.266666667,Violence
violence,10,Violence
violent,10,Violence
war,9.470588235,Violence
warfare,9,Violence
warhead,9.428571429,Violence
weapon,9,Violence
weaponry,9.222222222,Violence
wild,5.75,Violence
worry,6.647058824,Violence
worse,7.727272727,Violence
worst,6.375,Violence
wound,9.028571429,Violence
wrath,7.9,Violence
yell,7.321428571,Violence
