feature,Class,Average of Value,Year
bossy,0,-0.8557795882225037,2011
bossy,0,0.1147442758083344,2012
bossy,0,-3.249119997024536,2013
bossy,0,-1.530285716056824,2014
bossy,0,-1.479128479957581,2015
bossy,0,-2.110428094863892,2016
bossy,0,-0.9123231768608093,2017
bossy,0,-0.5792652368545532,2018
bossy,0,-0.1416197121143341,2019
bossy,0,-0.0656275749206543,2020
bossy,0,-1.75755763053894,2021
bossy,0,-0.2068716585636139,2022
bossy,1,-0.4359730780124664,2010
bossy,1,0.9644724726676941,2011
bossy,1,-0.1381162405014038,2012
bossy,1,3.957857608795166,2013
bossy,1,1.670991063117981,2014
bossy,1,1.852579116821289,2015
bossy,1,2.16885232925415,2016
bossy,1,1.06646192073822,2017
bossy,1,0.3814564943313599,2018
bossy,1,0.1851703375577927,2019
bossy,1,0.05753350630402565,2020
bossy,1,1.627507209777832,2021
bossy,1,0.1663996577262878,2022
brave,0,0.0692528709769249,2010
brave,0,-0.4206162095069885,2011
brave,0,0.3450951874256134,2012
brave,0,-0.090755894780159,2013
brave,0,-0.7402979135513306,2014
brave,0,-0.7069287896156311,2015
brave,0,0.2810324728488922,2016
brave,0,-0.02530121430754662,2017
brave,0,-0.4670414626598358,2018
brave,0,-0.00948316603899002,2019
brave,0,-0.2282563447952271,2020
brave,0,-0.5041272640228271,2021
brave,0,-0.0896349623799324,2022
brave,1,-0.04520216956734657,2010
brave,1,0.436940997838974,2011
brave,1,-0.3094899654388428,2012
brave,1,0.2275392562150955,2013
brave,1,0.8621100783348083,2014
brave,1,0.8579235076904297,2015
brave,1,-0.3137966394424438,2016
brave,1,0.01609432138502598,2017
brave,1,0.3688569962978363,2018
brave,1,0.04514520987868309,2019
brave,1,0.2763495147228241,2020
brave,1,0.4097176790237427,2021
brave,1,0.09648986905813217,2022
brawl,0,1.603655219078064,2010
brawl,0,-0.7412236928939819,2011
brawl,0,0.9292954206466675,2012
brawl,0,0.908214807510376,2013
brawl,0,1.172507882118225,2014
brawl,0,0.7140014171600342,2015
brawl,0,2.086251735687256,2016
brawl,0,1.091156363487244,2017
brawl,0,0.121601939201355,2018
brawl,0,0.6590512990951538,2019
brawl,0,1.104398488998413,2020
brawl,0,0.8091639876365662,2021
brawl,0,0.6327295303344727,2022
brawl,1,-1.105305552482605,2010
brawl,1,0.4946771860122681,2011
brawl,1,-0.9121337532997131,2012
brawl,1,-0.6171391606330872,2013
brawl,1,-1.562416434288025,2014
brawl,1,-0.7202080488204956,2015
brawl,1,-2.320287466049194,2016
brawl,1,-1.24377429485321,2017
brawl,1,-0.3534134924411774,2018
brawl,1,-0.8379542231559753,2019
brawl,1,-0.919604480266571,2020
brawl,1,-0.5940343737602234,2021
brawl,1,-0.4993404448032379,2022
brief,0,-0.00275762751698494,2010
brief,0,-0.1675328612327576,2011
brief,0,0.05346876382827759,2012
brief,0,-0.07322074472904205,2013
brief,0,0.1127051040530205,2014
brief,0,0.2577699422836304,2015
brief,0,0.2703065574169159,2016
brief,0,0.1213352084159851,2017
brief,0,-0.3354763388633728,2018
brief,0,0.03549847006797791,2019
brief,0,0.2154756188392639,2020
brief,0,0.06327302008867264,2021
brief,0,-0.04669684171676636,2022
brief,1,-0.05791296809911728,2010
brief,1,0.326185017824173,2011
brief,1,-0.09574525058269501,2012
brief,1,0.07198867946863174,2013
brief,1,-0.1604086458683014,2014
brief,1,-0.1959206163883209,2015
brief,1,-0.2148217260837555,2016
brief,1,-0.1431713402271271,2017
brief,1,0.2816786468029022,2018
brief,1,-0.04554525017738342,2019
brief,1,-0.1336257457733154,2020
brief,1,-0.01018521748483181,2021
brief,1,0.06413869559764862,2022
brilliant,0,-0.3565806746482849,2010
brilliant,0,0.08220861852169037,2011
brilliant,0,-0.263476550579071,2012
brilliant,0,-0.2291405647993088,2013
brilliant,0,0.1707000285387039,2014
brilliant,0,-0.02519315108656883,2015
brilliant,0,0.05282160639762878,2016
brilliant,0,0.5056775212287903,2017
brilliant,0,-0.1689950376749039,2018
brilliant,0,-0.2801488935947418,2019
brilliant,0,-0.111694797873497,2020
brilliant,0,0.09626732021570206,2021
brilliant,0,0.1254124045372009,2022
brilliant,1,0.1970479190349579,2010
brilliant,1,-0.1841574311256409,2011
brilliant,1,0.2619849443435669,2012
brilliant,1,0.3215163350105286,2013
brilliant,1,-0.1961394995450974,2014
